,name,url,info,industry,turn,city
0,诠视科技,company/61727945,高速VSLAM解决方案提供商,industry.AI,phase.ANGEL,city.上海市
1,西井科技,company/91018,脑神经技术及产品研发商,industry.AI,phase.B_PLUS,city.上海市
2,适享文化,company/37116352,依托知识图谱的人工智能解决方案提供商,industry.AI,phase.ANGEL,city.上海市
3,云拿科技,company/42071572,计算机视觉无人零售解决方案提供商,industry.AI,phase.A,city.上海市
4,安科迪科技,company/150166,安防监控设备研发商,industry.AI,phase.A_PLUS,city.上海市
5,MoAir,company/61260856,AR识别技术研发商,industry.VR_AR,phase.ANGEL,city.上海市
6,联影医疗,company/12682310,医用成像设备和医疗信息化解决方案提供商,industry.MEDICAL_HEALTH,phase.B,city.上海市
7,交易笔记,company/36639771,智能化投资策略笔记辅助工具,industry.FINANCE,phase.NONE,city.上海市
8,看看智能,company/101764,人脸识别技术研发商,industry.AI,phase.A,city.上海市
9,拿森汽车,company/96609160,智能驾驶电控系统研发商,industry.AUTO,phase.B,city.上海市
10,ReadSense,company/23866,人工智能机器识别技术提供商,industry.AI,phase.D,city.上海市
11,创昂智能Tron,company/52303945,低成本自动驾驶方案供应商,industry.AUTO,phase.ANGEL,city.上海市
12,影子智能,company/177116,医美领域3D人工智能平台,industry.AI,phase.PRE_A,city.上海市
13,达观数据,company/64803,文本智能处理服务提供商,industry.AI,phase.B,city.上海市
14,亿可能源,company/39744,AI能源运维系统服务提供商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
15,乂学教育,company/35920,AI中小学全科辅导服务商,industry.EDUCATION_TRAINING,phase.ANGEL,city.上海市
16,鼎鑫人工智能,company/69692368,人工智能金融量化技术投顾系统开发商,industry.FINANCE,phase.NONE,city.上海市
17,鲲云科技,company/176496,基于人工智能的数据分析解决方案提供商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
18,傅利叶智能,company/175311,康复机器人研发商,industry.ROBOT,phase.A,city.上海市
19,爱观视觉,company/75694564,仿生视觉系统控制及双目视觉技术研发商,industry.AI,phase.A,city.上海市
20,飞巡航空,company/68056375,空地一体智能安防监控系统建设及服务提供商,industry.MANUFACTURING,phase.NONE,city.上海市
21,零眸智能,company/87629186,零售行业图像识别技术服务提供商,industry.AI,phase.ANGEL,city.上海市
22,森亿智能,company/138310,医疗数据分析及管理平台,industry.MEDICAL_HEALTH,phase.B_PLUS,city.上海市
23,开放智能机器,company/83706582,人工智能应用软硬件研发商,industry.AI,phase.A,city.上海市
24,竹间智能,company/88513,情感机器人服务研发商,industry.AI,phase.B,city.上海市
25,悠络客,company/25609,新零售新门店人工智能服务商,industry.SERVICE_INDUSTRIES,phase.C_PLUS,city.上海市
26,图森未来,company/93441,自动驾驶技术研发与应用服务提供商,industry.AI,phase.D,city.上海市
27,深兰科技,company/16191290,人工智能基础研究和应用开发商,industry.AI,phase.B,city.上海市
28,魔视智能,company/135838,汽车自动安全驾驶解决方案提供商,industry.AUTO,phase.A_PLUS,city.上海市
29,步影医疗,company/17725955,人体运动检测与健康评估深度视觉分析技术服务商,industry.MEDICAL_HEALTH,phase.NONE,city.上海市
30,鲸鱼智能,company/39267144,AI用户画像分析服务商,industry.AI,phase.NONE,city.上海市
31,杰之能软件,company/77544469,工业大数据及工业人工智能服务提供商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
32,驰知科技,company/34069513,自动驾驶系统研发商,industry.AI,phase.NONE,city.上海市
33,Versa,company/58351313,基于人工智能的视觉创作APP,industry.MEDIA,phase.A,city.上海市
34,帆声图像,company/94687,机器视觉系统研发商,industry.AI,phase.C,city.上海市
35,极链科技Video++,company/24441,AI+文娱产业服务商,industry.AI,phase.C_PLUS,city.上海市
36,钛米机器人,company/160156,医疗服务机器人研发商,industry.ROBOT,phase.B_PLUS,city.上海市
37,乐言科技,company/97808043,人工智能技术提供商,industry.AI,phase.A,city.上海市
38,学霸君,company/20075,K12教育学习辅导软件研发商,industry.EDUCATION_TRAINING,phase.C,city.上海市
39,灵声科技,company/50280,智能语音技术研发商,industry.AI,phase.A,city.上海市
40,流利说,company/7087,AI英语教育科技服务商,industry.EDUCATION_TRAINING,phase.IPO,city.上海市
41,天壤智能,company/140459,人工智能营销服务平台,industry.AI,phase.A,city.上海市
42,阿法金融,company/97341,智能投顾服务提供商,industry.FINANCE,phase.A,city.上海市
43,优刻得,company/2976,云计算基础服务提供商,industry.SERVICE_INDUSTRIES,phase.E,city.上海市
44,珊口智能,company/92897680,家居AI数据服务商,industry.AI,phase.A,city.上海市
45,创略科技,company/33598,客户数据技术和AI公司,industry.SERVICE_INDUSTRIES,phase.A_PLUS,city.上海市
46,仙途智能,company/74841328,无人自动驾驶技术研发商,industry.AI,phase.A,city.上海市
47,创米科技,company/59799283,智能家居产品研发商,industry.INTELLIGENT_HARDWARE,phase.A,city.上海市
48,深擎科技,company/22218641,智能化管理技术提供商,industry.AI,phase.ANGEL,city.上海市
49,七牛云,company/3750,企业级公有云服务商,industry.SERVICE_INDUSTRIES,phase.E,city.上海市
50,盎锐科技,company/51642136,3D智能视觉技术研发商,industry.AI,phase.NONE,city.上海市
51,亮牛半导体,company/2392690,物联网芯片研发商,industry.PEC,phase.A,city.上海市
52,旦迪通信,company/99758006,智能通信零部件提供商,industry.MANUFACTURING,phase.NONE,city.上海市
53,灵至科技,company/85367056,服务型机器人研发商,industry.ROBOT,phase.PRE_A,city.上海市
54,尔智机器人,company/72488642,协作机器人研发商,industry.ROBOT,phase.A,city.上海市
55,木爷机器人,company/58090670,服务型机器人研发商,industry.ROBOT,phase.NONE,city.上海市
56,法视特,company/59172905,图像处理解决方案提供商,industry.SERVICE_INDUSTRIES,phase.PRE_A,city.上海市
57,爱肌智能,company/70539048,AI肌肤检测服务提供商,industry.AI,phase.ANGEL,city.上海市
58,深势科技,company/79383145,智能投顾服务提供商,industry.FINANCE,phase.NONE,city.上海市
59,元趣信息,company/8578,儿童早教机器人研发商,industry.ROBOT,phase.C,city.上海市
60,奇智机器人,company/59008225,聊天机器人研发商,industry.AI,phase.ANGEL,city.上海市
61,小i机器人,company/6563,聊天机器人研发商,industry.AI,phase.NEEQ,city.上海市
62,信号旗,company/166073,AI进出口业务服务商,industry.AI,phase.A,city.上海市
63,Maxieye智驾,company/30451892,辅助驾驶与自动驾驶系统研发商,industry.AI,phase.PRE_A,city.上海市
64,洪朴信息,company/38393234,制造业数据分析服务提供商,industry.AI,phase.PRE_A,city.上海市
65,殷创科技,company/50068644,智能汽车电子设备研发商,industry.AUTO,phase.A,city.上海市
66,贝贝鱼,company/14302903,资产管理⾦融科技服务商,industry.FINANCE,phase.NONE,city.上海市
67,锡明光电,company/73756875,机器视觉检测及机器人产品提供商,industry.PEC,phase.NONE,city.上海市
68,雪湖科技,company/26005156,异构计算技术和FPGA应用开发商,industry.AI,phase.ANGEL,city.上海市
69,因朔桔,company/4770918,AI技术行业应用服务商,industry.AI,phase.NONE,city.上海市
70,邃蓝智能,company/55164049,医学影像系统研发商,industry.MEDICAL_HEALTH,phase.PRE_A,city.上海市
71,柯林布瑞,company/98145753,医疗大数据服务提供商,industry.MEDICAL_HEALTH,phase.A,city.上海市
72,按图索宝,company/34797,视觉搜索引擎研发商,industry.AI,phase.NONE,city.上海市
73,DeepBrain,company/4130843,机器人SaaS平台,industry.AI,phase.INFORMAL,city.上海市
74,EutoEye,company/15198149,智能视频监控技术提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
75,探知数据,company/3038564,大数据风控云服务提供商,industry.FINANCE,phase.ANGEL,city.上海市
76,边界智能,company/40282105,基于区块链的医疗数据服务提供商,industry.MEDICAL_HEALTH,phase.PRE_A,city.上海市
77,筑众科技,company/17191017,BIM软件研发商,industry.SERVICE_INDUSTRIES,phase.ANGEL,city.上海市
78,E-AI使爱,company/75483710,智能识别及语义技术服务提供商,industry.SERVICE_INDUSTRIES,phase.NONE,city.上海市
79,滴孚人工智能,company/49370342,全自动化人工智能面试服务提供商,industry.AI,phase.ANGEL,city.上海市
80,Ruyi.ai,company/111357,聊天机器人技术提供商,industry.AI,phase.PRE_A,city.上海市
81,图麟科技,company/39389,计算机图像识别技术服务提供商,industry.AI,phase.A,city.上海市
82,百芝龙智慧科技,company/77516463,全宅智能生活系统解决方案提供商,industry.AI,phase.A_PLUS,city.上海市
83,博科资讯,company/14116,企业级管理软件提供商,industry.SERVICE_INDUSTRIES,phase.D,city.上海市
84,宇钛科技,company/86098183,犬类虹膜识别技术研发服务商,industry.AI,phase.ANGEL,city.上海市
85,智柚科技,company/44138269,自适应机器学习技术研发商,industry.AI,phase.NONE,city.上海市
86,树同科技,company/31834753,智能移动平台研发商,industry.AI,phase.NONE,city.上海市
87,声瀚科技,company/24903874,智能声纹识别技术研发商,industry.AI,phase.PRE_A,city.上海市
88,Viscovery,company/22554,视频识别技术服务提供商,industry.AI,phase.A_PLUS,city.上海市
89,Mesoor,company/9207718,AI招聘服务提供商,industry.AI,phase.PRE_A,city.上海市
90,视问智能,company/3890920,机器视觉技术研发商,industry.AI,phase.NONE,city.上海市
91,海深科技,company/142597,图像识别技术研发商,industry.AI,phase.ANGEL,city.上海市
92,艾思达智能科技,company/67146888,医疗及金融领域智能识别技术研发商,industry.SERVICE_INDUSTRIES,phase.A,city.上海市
93,水象科技,company/104984,智能化金融数据分析服务商,industry.FINANCE,phase.NONE,city.上海市
94,祎睿图像,company/127709,机器视觉解决方案提供商,industry.AI,phase.NONE,city.上海市
95,云隐科技,company/49733,人工智能芯片研发商,industry.AI,phase.NONE,city.上海市
96,猎居科技,company/58376661,智能房地产营销服务提供商,industry.AI,phase.ANGEL,city.上海市
